"plot","site","alt","long_garmin","lat_garmin","x_garmin","y_garmin","z_garmin","x_trimble","y_trimble","z_trimble","x_diff","y_diff","date","inclin_down","inclin_dir","X","x","y","z","long","lat","location"
"P176",1,100,-51.808942,64.243654,460778.6062,7124415.032,100.484596,NA,NA,NA,NA,NA,"2011-07-18",23,175,NA,460778.6062,7124415.032,100.484596,-51.8089419997424,64.2436539962688,"<Point><coordinates>-51.8089419997424,64.2436539962688,100.484596</coordinates></Point>"
"P177",1,100,-51.808889,64.243745,460781.3047,7124425.14,99.821014,NA,NA,NA,NA,NA,"2011-07-18",38,125,NA,460781.3047,7124425.14,99.821014,-51.8088890005152,64.2437450014893,"<Point><coordinates>-51.8088890005152,64.2437450014893,99.821014</coordinates></Point>"
"P178",1,100,-51.808799,64.243817,460785.7702,7124433.107,101.198746,NA,NA,NA,NA,NA,"2011-07-18",34,152,NA,460785.7702,7124433.107,101.198746,-51.8087989992872,64.2438169974663,"<Point><coordinates>-51.8087989992872,64.2438169974663,101.198746</coordinates></Point>"
"P179",1,100,-51.808709,64.243897,460790.2469,7124441.966,101.732384,NA,NA,NA,NA,NA,"2011-07-18",15,178,NA,460790.2469,7124441.966,101.732384,-51.808709000483,64.2438969984254,"<Point><coordinates>-51.808709000483,64.2438969984254,101.732384</coordinates></Point>"
"P180",1,100,-51.808582,64.243979,460796.5203,7124451.025,101.564018,NA,NA,NA,NA,NA,"2011-07-18",8,180,NA,460796.5203,7124451.025,101.564018,-51.8085820006404,64.2439789988226,"<Point><coordinates>-51.8085820006404,64.2439789988226,101.564018</coordinates></Point>"
"P181",1,200,-51.80189,64.267196,461153.5794,7127033.986,199.624252,NA,NA,NA,NA,NA,"2011-07-17",10,208,NA,461153.5794,7127033.986,199.624252,-51.8018900000596,64.2671959988617,"<Point><coordinates>-51.8018900000596,64.2671959988617,199.624252</coordinates></Point>"
"P182",1,200,-51.801751,64.267253,461160.3929,7127040.253,198.667984,NA,NA,NA,NA,NA,"2011-07-17",12,95,NA,461160.3929,7127040.253,198.667984,-51.8017509991799,64.26725300224,"<Point><coordinates>-51.8017509991799,64.26725300224,198.667984</coordinates></Point>"
"P183",1,200,-51.801571,64.267197,461169.0337,7127033.903,197.178436,NA,NA,NA,NA,NA,"2011-07-17",20,140,NA,461169.0337,7127033.903,197.178436,-51.8015709996951,64.2671970021697,"<Point><coordinates>-51.8015709996951,64.2671970021697,197.178436</coordinates></Point>"
"P184",1,200,-51.801419,64.26725,461176.4712,7127039.716,199.654633,NA,NA,NA,NA,NA,"2011-07-17",18,133,NA,461176.4712,7127039.716,199.654633,-51.8014190006013,64.2672500021434,"<Point><coordinates>-51.8014190006013,64.2672500021434,199.654633</coordinates></Point>"
"P185",1,200,-51.801216,64.267234,461186.2824,7127037.809,197.610687,NA,NA,NA,NA,NA,"2011-07-17",42,215,NA,461186.2824,7127037.809,197.610687,-51.8012159998736,64.2672340001732,"<Point><coordinates>-51.8012159998736,64.2672340001732,197.610687</coordinates></Point>"
